Entity,Code,Year,Share of waste recycled from total regional waste,Share of waste incinerated from total regional waste,Share of littered and mismanaged from total regional waste,Share of waste landfilled from total regional waste
Americas (excl. USA),,2000,4.721963,1.2200574,32.702644,61.355328
Americas (excl. USA),,2001,4.9725046,1.2086724,32.65127,61.167557
Americas (excl. USA),,2002,5.2274694,1.1975662,32.610554,60.964405
Americas (excl. USA),,2003,5.4825106,1.186352,32.54644,60.7847
Americas (excl. USA),,2004,5.7400074,1.1752826,32.48097,60.603745
Americas (excl. USA),,2005,5.9932656,1.1643187,32.38634,60.456074
Americas (excl. USA),,2006,6.248887,1.1536299,32.298714,60.298763
Americas (excl. USA),,2007,6.504815,1.1429298,32.198456,60.153793
Americas (excl. USA),,2008,6.750381,1.1313322,32.026604,60.091694
Americas (excl. USA),,2009,7.001762,1.1201167,31.879993,59.998123
Americas (excl. USA),,2010,7.260716,1.1110171,31.71632,59.91195
Americas (excl. USA),,2011,7.5179963,1.1020877,31.516384,59.863525
Americas (excl. USA),,2012,7.769329,1.0941856,31.313433,59.823048
Americas (excl. USA),,2013,8.0173,1.0871824,31.086756,59.80876
Americas (excl. USA),,2014,8.261709,1.0832841,30.869202,59.78581
Americas (excl. USA),,2015,8.545544,1.0632468,30.585459,59.805756
Americas (excl. USA),,2016,8.805076,1.0594409,30.192081,59.943398
Americas (excl. USA),,2017,9.050159,1.0606065,29.824228,60.065014
Americas (excl. USA),,2018,9.3020315,1.0537329,29.444986,60.19925
Americas (excl. USA),,2019,9.554245,1.1592599,29.180883,60.10561
Asia (excl. China and India),,2000,3.8260822,10.439383,36.90847,48.82608
Asia (excl. China and India),,2001,4.0782595,10.978967,36.89078,48.051964
Asia (excl. China and India),,2002,4.3347645,11.516974,36.843292,47.304955
Asia (excl. China and India),,2003,4.5875983,12.036433,36.779625,46.59634
Asia (excl. China and India),,2004,4.8415866,12.546595,36.695618,45.916195
Asia (excl. China and India),,2005,5.084951,13.035166,36.599823,45.280056
Asia (excl. China and India),,2006,5.3303037,13.520215,36.482292,44.6672
Asia (excl. China and India),,2007,5.5731425,13.991865,36.3509,44.084095
Asia (excl. China and India),,2008,5.789884,14.406246,36.239586,43.564274
Asia (excl. China and India),,2009,6.0158916,14.830825,36.098736,43.054558
Asia (excl. China and India),,2010,6.2616835,15.259308,35.94254,42.536484
Asia (excl. China and India),,2011,6.5045176,15.73903,35.716637,42.03982
Asia (excl. China and India),,2012,6.731505,16.145636,35.53132,41.591534
Asia (excl. China and India),,2013,6.9581046,16.596796,35.301987,41.14312
Asia (excl. China and India),,2014,7.181574,16.968782,35.11712,40.732525
Asia (excl. China and India),,2015,7.4340367,17.335096,34.900837,40.330025
Asia (excl. China and India),,2016,7.6610985,17.633564,34.71078,39.994568
Asia (excl. China and India),,2017,7.887815,17.935818,34.513863,39.662506
Asia (excl. China and India),,2018,8.143375,18.53463,34.149826,39.17216
Asia (excl. China and India),,2019,8.351267,18.513683,33.74583,39.38922
China,CHN,2000,4.7811875,8.821573,60.803017,25.594213
China,CHN,2001,5.210237,9.609698,59.054733,26.125332
China,CHN,2002,5.6417065,10.40487,57.293118,26.660315
China,CHN,2003,6.0726414,11.204407,55.523457,27.199492
China,CHN,2004,6.505385,12.010195,53.741825,27.742598
China,CHN,2005,6.9324255,12.820913,51.95479,28.291878
China,CHN,2006,7.361401,13.638992,50.15437,28.845242
China,CHN,2007,7.7904778,14.462739,48.343662,29.40313
China,CHN,2008,8.205644,15.287558,46.536137,29.970661
China,CHN,2009,8.62724,16.121347,44.71028,30.541138
China,CHN,2010,9.063556,16.963223,42.862103,31.111118
China,CHN,2011,9.495495,17.809065,41.007553,31.687883
China,CHN,2012,9.926934,18.663284,39.13956,32.27022
China,CHN,2013,10.358366,19.526173,37.258137,32.857323
China,CHN,2014,10.742684,20.402584,35.385983,33.468746
China,CHN,2015,11.2197,21.266891,33.464287,34.049118
China,CHN,2016,11.647163,22.14718,31.551327,34.65433
China,CHN,2017,12.039128,23.042185,29.63854,35.280148
China,CHN,2018,12.489243,23.932241,27.691025,35.887497
China,CHN,2019,12.801141,23.762764,27.052067,36.384026
Europe,,2000,4.4350724,14.542094,12.974696,68.048134
Europe,,2001,4.8575726,15.765712,12.603666,66.773056
Europe,,2002,5.2840734,17.00034,12.228789,65.48679
Europe,,2003,5.7134585,18.240551,11.851512,64.19448
Europe,,2004,6.1474333,19.489176,11.470602,62.892788
Europe,,2005,6.5762663,20.743938,11.087446,61.592346
Europe,,2006,7.005127,22.009491,10.700763,60.284615
Europe,,2007,7.4335413,23.282541,10.311633,58.972286
Europe,,2008,7.857827,24.552296,9.92206,57.66781
Europe,,2009,8.282662,25.83552,9.528665,56.353157
Europe,,2010,8.717985,27.131308,9.130713,55.019997
Europe,,2011,9.1653,28.428936,8.72891,53.676857
Europe,,2012,9.597319,29.726812,8.325814,52.350063
Europe,,2013,10.011501,31.043758,7.9192724,51.025467
Europe,,2014,10.433878,32.365795,7.509836,49.69049
Europe,,2015,10.883846,33.69418,7.0952907,48.326675
Europe,,2016,11.2864,35.048588,6.6819925,46.983017
Europe,,2017,11.679832,36.413742,6.266093,45.640327
Europe,,2018,12.079297,37.823994,5.840492,44.25621
Europe,,2019,12.384406,37.74739,5.667553,44.200645
India,IND,2000,5.072351,1.6886452,68.140015,25.098991
India,IND,2001,5.518129,1.8104163,67.0225,25.648987
India,IND,2002,5.967143,1.9341495,65.896065,26.202646
India,IND,2003,6.4143167,2.058212,64.76735,26.760122
India,IND,2004,6.8626175,2.183653,63.63214,27.321568
India,IND,2005,7.304126,2.3092675,62.497868,27.888737
India,IND,2006,7.748583,2.4366627,61.354862,28.459888
India,IND,2007,8.192793,2.5648549,60.207165,29.035204
India,IND,2008,8.615771,2.6906817,59.074093,29.619452
India,IND,2009,9.048954,2.819237,57.925507,30.206303
India,IND,2010,9.512734,2.9519954,56.745895,30.789371
India,IND,2011,9.96875,3.084561,55.567894,31.378803
India,IND,2012,10.419898,3.2184,54.38649,31.975197
India,IND,2013,10.86092,3.3541615,53.204285,32.58064
India,IND,2014,11.294254,3.4897249,52.02429,33.191742
India,IND,2015,11.762998,3.6219816,50.823193,33.79184
India,IND,2016,12.197806,3.757444,49.636204,34.40855
India,IND,2017,12.617458,3.8932753,48.45246,35.036797
India,IND,2018,13.01899,4.031769,47.269722,35.679527
India,IND,2019,13.333093,4.1608157,46.214355,36.29173
Middle East & North Africa,,2000,2.8385525,0.4083155,46.085022,50.668125
Middle East & North Africa,,2001,2.9783854,0.40893826,45.760677,50.852
Middle East & North Africa,,2002,3.120995,0.41152158,45.43191,51.035587
Middle East & North Africa,,2003,3.2624445,0.4132549,45.104546,51.21977
Middle East & North Africa,,2004,3.4045367,0.4158622,44.77496,51.404636
Middle East & North Africa,,2005,3.5428393,0.41720885,44.4478,51.59214
Middle East & North Africa,,2006,3.6822584,0.42017192,44.117096,51.780476
Middle East & North Africa,,2007,3.821043,0.42305285,43.78638,51.969536
Middle East & North Africa,,2008,3.950186,0.42023295,43.46747,52.162098
Middle East & North Africa,,2009,4.083425,0.4205537,43.141823,52.3542
Middle East & North Africa,,2010,4.2234116,0.4244984,42.808033,52.544052
Middle East & North Africa,,2011,4.3600283,0.426279,42.478146,52.73554
Middle East & North Africa,,2012,4.493245,0.42845225,42.146996,52.9313
Middle East & North Africa,,2013,4.625987,0.43187827,41.813095,53.12904
Middle East & North Africa,,2014,4.7582517,0.43362236,41.48228,53.32585
Middle East & North Africa,,2015,4.9017944,0.43537682,41.147713,53.515106
Middle East & North Africa,,2016,5.042626,0.44025955,40.810375,53.706734
Middle East & North Africa,,2017,5.171647,0.44278595,40.48094,53.90462
Middle East & North Africa,,2018,5.30625,0.44417846,40.149452,54.100113
Middle East & North Africa,,2019,5.4478326,0.6075314,39.797066,54.14757
Oceania,,2000,3.8013995,9.345559,11.801067,75.05197
Oceania,,2001,3.963976,9.463215,11.541275,75.031746
Oceania,,2002,4.1322722,9.582663,11.281355,75.003716
Oceania,,2003,4.2974424,9.702051,11.020874,74.97963
Oceania,,2004,4.463665,9.822365,10.759826,74.95399
Oceania,,2005,4.6208525,9.942407,10.497309,74.939285
Oceania,,2006,4.7813644,10.063928,10.234269,74.92044
Oceania,,2007,4.940778,10.185877,9.970468,74.90288
Oceania,,2008,5.076983,10.305142,9.704555,74.913315
Oceania,,2009,5.225511,10.426499,9.438382,74.90961
Oceania,,2010,5.3910365,10.54966,9.172496,74.88691
Oceania,,2011,5.5492187,10.6718645,8.904644,74.87427
Oceania,,2012,5.7029896,10.794297,8.634302,74.86841
Oceania,,2013,5.8584156,10.917622,8.362585,74.8613
Oceania,,2014,6.0145235,11.04042,8.089958,74.85518
Oceania,,2015,6.195937,11.162097,7.8174677,74.8245
Oceania,,2016,6.360372,11.284588,7.544095,74.81101
Oceania,,2017,6.5187745,11.407856,7.268038,74.805275
Oceania,,2018,6.6881337,11.530375,6.9919286,74.789566
Oceania,,2019,6.8709826,11.508256,6.7546487,74.86611
Sub-Saharan Africa,,2000,3.0122259,0,69.32282,27.664953
Sub-Saharan Africa,,2001,3.1577353,0,69.037895,27.804375
Sub-Saharan Africa,,2002,3.3036993,0,68.75072,27.945591
Sub-Saharan Africa,,2003,3.4496167,0,68.46405,28.086332
Sub-Saharan Africa,,2004,3.5955374,0,68.17625,28.228214
Sub-Saharan Africa,,2005,3.739918,0,67.89002,28.370058
Sub-Saharan Africa,,2006,3.8841133,0,67.60213,28.513756
Sub-Saharan Africa,,2007,4.0282083,0,67.31411,28.657686
Sub-Saharan Africa,,2008,4.1703157,0,67.032135,28.797552
Sub-Saharan Africa,,2009,4.3130527,0,66.74667,28.94027
Sub-Saharan Africa,,2010,4.4576178,0,66.45724,29.085144
Sub-Saharan Africa,,2011,4.601472,0,66.16995,29.228577
Sub-Saharan Africa,,2012,4.742198,0,65.88338,29.374424
Sub-Saharan Africa,,2013,4.880434,0,65.59676,29.522797
Sub-Saharan Africa,,2014,5.020707,0,65.31025,29.669046
Sub-Saharan Africa,,2015,5.169435,0,65.01683,29.81374
Sub-Saharan Africa,,2016,5.3148503,0,64.72836,29.956776
Sub-Saharan Africa,,2017,5.4564695,0,64.44149,30.10204
Sub-Saharan Africa,,2018,5.595348,0,64.15522,30.249432
Sub-Saharan Africa,,2019,5.7193336,0.5053036,63.607426,30.167952
United States,USA,2000,2.3450744,15.26663,7.976449,74.41184
United States,USA,2001,2.4553704,15.470107,7.751578,74.322945
United States,USA,2002,2.5685005,15.676425,7.5254703,74.2296
United States,USA,2003,2.6816754,15.881963,7.2990794,74.13729
United States,USA,2004,2.797141,16.088884,7.0714564,74.04251
United States,USA,2005,2.9077706,16.295376,6.8430123,73.95384
United States,USA,2006,3.0194216,16.504599,6.613124,73.86286
United States,USA,2007,3.1306255,16.714312,6.382708,73.772354
United States,USA,2008,3.2331533,16.917627,6.153222,73.696
United States,USA,2009,3.3390622,17.125454,5.922219,73.61326
United States,USA,2010,3.4539635,17.337303,5.6899505,73.51878
United States,USA,2011,3.571022,17.546066,5.457105,73.4258
United States,USA,2012,3.6815886,17.757292,5.222023,73.339096
United States,USA,2013,3.785189,17.972448,4.9854603,73.25691
United States,USA,2014,3.8899853,18.185287,4.749489,73.17524
United States,USA,2015,4.0129786,18.395073,4.513753,73.07819
United States,USA,2016,4.1291475,18.607126,4.2783055,72.98541
United States,USA,2017,4.245349,18.82063,4.0425444,72.89149
United States,USA,2018,4.3634415,19.0355,3.8058376,72.79523
United States,USA,2019,4.488883,19.078592,3.552523,72.880005
World,OWID_WRL,2000,3.7033863,10.872603,26.019512,59.4045
World,OWID_WRL,2001,3.985935,11.335858,26.0388,58.6394
World,OWID_WRL,2002,4.2745633,11.796122,26.058777,57.870537
World,OWID_WRL,2003,4.564884,12.255621,26.044748,57.134747
World,OWID_WRL,2004,4.8600082,12.712106,26.01943,56.408455
World,OWID_WRL,2005,5.150596,13.169611,25.952034,55.72776
World,OWID_WRL,2006,5.4449744,13.623553,25.881447,55.050026
World,OWID_WRL,2007,5.7405467,14.075386,25.787539,54.396534
World,OWID_WRL,2008,6.0234685,14.530793,25.611216,53.834515
World,OWID_WRL,2009,6.3141065,14.980321,25.44969,53.255886
World,OWID_WRL,2010,6.6227803,15.421236,25.310413,52.645576
World,OWID_WRL,2011,6.9352217,15.873149,25.125038,52.06659
World,OWID_WRL,2012,7.2388344,16.3224,24.887909,51.550865
World,OWID_WRL,2013,7.537689,16.779276,24.610676,51.072365
World,OWID_WRL,2014,7.836343,17.219267,24.388899,50.555504
World,OWID_WRL,2015,8.164696,17.625141,24.083096,50.12707
World,OWID_WRL,2016,8.450203,18.084925,23.626896,49.837975
World,OWID_WRL,2017,8.747166,18.57843,23.1996,49.474804
World,OWID_WRL,2018,9.036769,19.083899,22.697952,49.18138
World,OWID_WRL,2019,9.292344,19.048033,22.45448,49.205143